id,question,y
0,"What type of microphone must be installed to meet the recording requirements of paragraph (a)(2) of 14 CFR 23.1457?
Options:
A. Handheld microphone
B. Area microphone
C. Boom microphone",A
1,"What is the required color of the recorder container according to 14 CFR 23.1457?
Options:
A. White
B. Black
C. Orange",B
2,"Which statement is true according to 14 CFR 23.1457?
Options:
A. The cockpit voice recorder and flight data recorder must be installed together in the same container.
B. The cockpit voice recorder must remain powered for at least 20 minutes after crash impact.
C. The recorder container must have an underwater locating device if required by the operating rules",C
3,"Which of the following sources need to be recorded on a separate channel according to 14 CFR 23.1457?
Options:
A. Second pilot station handheld microphone
B. First pilot station headset microphone
C. All of the above",
4,"What period of time must a person be hospitalized before an injury may be defined by the NTSB as a 'serious injury'?
Options:
A. 48 hours, commencing within 7 days after date of the injury.
B. 72 hours, commencing within 10 days after date of injury.
C. 10 days, with no other extenuating circumstances.",
5,"Which publication includes information on operations in the North Atlantic High Level Airspace (NAT HLA).
Options:
A. 14 CFR part 91.
B. 14 CFR part 121.
C. ICAO annex 1, chapter 2.",
6,"If a four-engine air carrier airplane is dispatched from an airport that is below landing minimums, what is the maximum distance that a departure alternate airport may be located from the departure airport?
Options:
A. Not more than 2 hours at normal cruise speed in still air with one engine inoperative.
B. Not more than 2 hours at cruise speed with one engine inoperative.
C. Not more than 1 hour at normal cruise speed in still air with one engine inoperative.",
7,"The minimum weather conditions that must exist for a domestic air carrier flight to take off from an airport that is not listed in the Air Carrier's Operations Specifications (takeoff minimums are not prescribed for that airport.) is
Options:
A. 1,000 - 1, 900 - 11/4, or 800 - 2.
B. 1,000 - 1, 900 - 11/2, or 800 - 2.
C. 800 - 2, 1,100 - 1, or 900 - 11/2.",
8,"What action is required prior to takeoff if snow is adhering to the wings of an air carrier airplane?
Options:
A. Add 15 knots to the normal VR speed as the snow will blow off.
B. Sweep off as much snow as possible and the residue must be polished smooth.
C. Assure that the snow is removed from the airplane.",
9,"A domestic air carrier flight has a delay while on the ground, at an intermediate airport. How long before a redispatch release is required?
Options:
A. Not more than 2 hours.
B. More than 6 hours.
C. Not more than 1 hour.",
10,"If it becomes necessary to shut down one engine on a domestic air carrier three-engine turbojet airplane, the pilot in command
Options:
A. may continue to the planned destination if this is considered as safe as landing at the nearest suitable airport.
B. may continue to the planned destination if approved by the company aircraft dispatcher.
C. must land at the nearest suitable airport, in point of time, at which a safe landing can be made.",
11,"An aircraft dispatcher declares an emergency for a flight and a deviation results. A written report shall be sent through the air carriers operations manager by the
Options:
A. dispatcher to the FAA Administrator within 10 days of the event.
B. pilot in command to the FAA Administrator within 10 days of the event.
C. certificate holder to the FAA Administrator within 10 days of the event.",
12,"Except when in cruise flight, below what altitude are non-safety related cockpit activities by flight crewmembers prohibited?
Options:
A. FL 180.
B. 14,500 feet.
C. 10,000 feet.",
13,"Where is a list maintained for routes that require special navigation equipment?
Options:
A. International Flight Information Manual.
B. Air Carrier's Operations Specifications.
C. Airplane Flight Manual.",
14,"If a required instrument on a multiengine airplane becomes inoperative, which document required under 14 CFR part 121 dictates whether the flight may continue en route?
Options:
A. A Master Minimum Equipment List for the airplane.
B. Certificate holder`s manual.
C. Original dispatch release.",
15,"By regulation, who shall provide the pilot in command of a domestic or flag air carrier airplane information concerning weather, and irregularities of facilities and services?
Options:
A. Air route traffic control center.
B. The aircraft dispatcher.
C. Director of operations.",
16,"For a flight over uninhabited terrain, an airplane operated by a flag or supplemental air carrier must carry enough appropriately equipped survival kits for
Options:
A. all passenger seats.
B. all aircraft occupants.
C. all of the passengers, plus 10 percent.",
17,"Information recorded during normal operation of a cockpit voice recorder in a large turbine powered airplane
Options:
A. may be erased or otherwise obliterated except for the last 30 minutes prior to landing.
B. may all be erased or otherwise obliterated except for the last 30 minutes.
C. may all be erased, as the voice recorder is not required on an aircraft with reciprocating engines.",
18,"When must an air carrier airplane be DME/suitable RNAV system equipped?
Options:
A. For flights at or above FL 180.
B. Whenever VOR navigation equipment is required.
C. In Class E airspace for all IFR or VFR on Top operations.",
19,"Normally, a dispatcher for domestic or flag operations should be scheduled for no more than...
Options:
A. 10 hours of duty in any 24 consecutive hours.
B. 8 hours of service in any 24 consecutive hours.
C. 10 consecutive hours of duty.",
